"theme","metric","value","unit","timeframe_or_date","source_title","source_url","notes"
"Climate Action Plan","Carbon neutrality target","before 2050","","2021-10-08","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Official citywide target"
"Climate Action Plan","Interim emissions reduction target","50","percent vs 2005 level","by 2035","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Official interim target"
"Climate Action Plan","Electricity generation share of Hong Kong carbon emissions","66","percent","2019","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Useful to justify focus on power-sector integration"
"Climate Action Plan","Renewable energy share target","7.5 to 10","percent of fuel mix for electricity generation","by 2035","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Official local RE target"
"Climate Action Plan","Renewable energy share target","15","percent","after 2035","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Source says 'subsequently' / 'gradually thereafter'"
"Climate Action Plan","Commercial building electricity reduction target","30 to 40","percent from 2015 level","by 2050","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Demand reduction is part of the pathway"
"Climate Action Plan","Residential building electricity reduction target","20 to 30","percent from 2015 level","by 2050","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Demand reduction is part of the pathway"
"Climate Action Plan","Climate mitigation and adaptation spending","240","HKD billion","next 15 to 20 years from 2021","Government announces Hong Kong's Climate Action Plan 2050","https://www.info.gov.hk/gia/general/202110/08/P2021100800588.htm","Official planned spending"
"Solar / FiT","Approved Feed-in Tariff applications","26000","applications","as at Sep 2024","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","Shows scale-up of distributed solar"
"Solar / FiT","Estimated annual generation from approved CLP systems","399000000","kWh per year","as at Sep 2024 approvals","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","From systems approved under FiT"
"Solar / FiT","Estimated annual generation from approved HK Electric systems","15000000","kWh per year","as at Sep 2024 approvals","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","From systems approved under FiT"
"Solar / FiT","Estimated annual generation from approved CLP + HK Electric systems","414000000","kWh per year","as at Sep 2024 approvals","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","Calculated as 399M + 15M"
"Solar / FiT","Electricity demand met by approved FiT systems","126000","households","as at Sep 2024 approvals","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","Government estimate"
"Public sector solar","Public funding earmarked for RE facilities at government buildings and facilities","3","HKD billion","since 2017-18","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","Public-sector support"
"Public sector solar","Approved public-sector RE projects","250","projects","as at Nov 2024","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","Source says more than 250 projects"
"Public sector solar","Expected annual generation from approved public-sector RE projects","26000000","kWh per year","as at Nov 2024","LCQ2: Feed-in Tariff Scheme","https://www.info.gov.hk/gia/general/202411/20/P2024112000328p.htm","Government estimate"
"Floating solar","Pilot floating PV design capacity at Shek Pik Reservoir","100","kW","completed 2017-02","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Pilot project"
"Floating solar","Pilot floating PV annual generation at Shek Pik Reservoir","120000","kWh per year","completed 2017-02","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Government figure"
"Floating solar","Pilot floating PV design capacity at Plover Cove Reservoir","100","kW","completed 2017-10","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Pilot project"
"Floating solar","Pilot floating PV annual generation at Plover Cove Reservoir","120000","kWh per year","completed 2017-10","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Government figure"
"Floating solar","Pilot floating PV design capacity at Tai Lam Chung Reservoir","100","kW","completed 2022-04","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Pilot project"
"Floating solar","Pilot floating PV annual generation at Tai Lam Chung Reservoir","120000","kWh per year","completed 2022-04","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Government figure"
"Floating solar","Planned Plover Cove floating solar farm capacity","5","MW","anticipated completion 2026","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Large-scale next step after pilot"
"Floating solar","Planned Plover Cove floating solar farm annual generation","6000000","kWh per year","anticipated completion 2026","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Government figure"
"Landfill solar","Planned South East New Territories landfill solar farm capacity","10","MW","anticipated completion 2026","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Large-scale solar example"
"Landfill solar","Planned South East New Territories landfill solar farm annual generation","10000000","kWh per year","anticipated completion 2026","Dedications in Application of Renewable Energy","https://www.wsd.gov.hk/ecoexpoasia2023/index-en.html","Government figure"
"Hydrogen","Hydrogen projects given agreement-in-principle","14","projects","as at 2024-06-17","Government announces Strategy of Hydrogen Development in Hong Kong","https://www.info.gov.hk/gia/general/202406/17/P2024061700427.htm","Shows hydrogen is active but early-stage"
"Hydrogen","Legislative amendments for hydrogen regulatory basis","first half of 2025","","announced 2024-06-17","Government announces Strategy of Hydrogen Development in Hong Kong","https://www.info.gov.hk/gia/general/202406/17/P2024061700427.htm","Implementation milestone"
"Hydrogen","Target year to formulate hydrogen certification approach aligned with international practices","2027","","announced 2024-06-17","Government announces Strategy of Hydrogen Development in Hong Kong","https://www.info.gov.hk/gia/general/202406/17/P2024061700427.htm","Standards milestone"
"Regional integration","Coal phase-out for electricity generation","2035","","stated 2025-04-09","Joint Meeting of Four Expert Groups of APEC Energy Working Group and associated workshops held in Hong Kong for first time","https://www.info.gov.hk/gia/general/202504/09/P2025040900267.htm","Government statement"
"Regional integration","Planning infrastructure to import more zero-carbon electricity from neighbouring regions","yes","","stated 2025-04-09","Joint Meeting of Four Expert Groups of APEC Energy Working Group and associated workshops held in Hong Kong for first time","https://www.info.gov.hk/gia/general/202504/09/P2025040900267.htm","Strong support for your recommendation"
"CLP fuel mix","Natural gas share","52","percent","2024","Power generation","https://www.clp.com.hk/en/about-clp/power-generation","CLP generation mix"
"CLP fuel mix","Nuclear share","31","percent","2024","Power generation","https://www.clp.com.hk/en/about-clp/power-generation","CLP generation mix"
"CLP fuel mix","Coal share","16","percent","2024","Power generation","https://www.clp.com.hk/en/about-clp/power-generation","CLP generation mix"
"CLP fuel mix","Renewable energy share","1","percent","2024","Power generation","https://www.clp.com.hk/en/about-clp/power-generation","CLP generation mix"
"HK Electric fuel mix","Natural gas share","68","percent","2024","Corporate Information 2024/25","https://www.hkelectric.com/documents/en/CorporateInformation/Documents/24_25_CIB_E_Section1.pdf","Based on electricity sent out ratio"
"HK Electric fuel mix","Coal share","32","percent","2024","Corporate Information 2024/25","https://www.hkelectric.com/documents/en/CorporateInformation/Documents/24_25_CIB_E_Section1.pdf","Based on electricity sent out ratio"
"HK Electric system","Electricity sales","10.15","billion units","2024","Corporate Information 2024/25","https://www.hkelectric.com/documents/en/CorporateInformation/Documents/24_25_CIB_E_Section1.pdf","Useful for system scale"
"HK Electric system","Carbon emissions per electricity unit sold","0.60","kg CO2e per kWh","2024","Corporate Information 2024/25","https://www.hkelectric.com/documents/en/CorporateInformation/Documents/24_25_CIB_E_Section1.pdf","Useful for decarbonisation trend context"
"HK Electric system","Supply reliability","over 99.9999","percent","2024","Corporate Information 2024/25","https://www.hkelectric.com/documents/en/CorporateInformation/Documents/24_25_CIB_E_Section1.pdf","Helps explain why reliability matters in pathway discussions"
"Smart grid","Connected smart meters","2.88","million","by end 2025","CLP Power Completes Smart Meters Rollout","https://www.clp.com.hk/content/dam/clp-group/channels/media/document/2026/20260305_en.pdf","Residential and SME customers"
"Smart grid","Hourly usage visibility after smart meter installation","90","days of hourly consumption history","current page as accessed in 2026","Mass Rollout of Smart Meters","https://www.clp.com.hk/en/residential/smart-meters/mass-rollout","Customers can view past 90 days up to 3 hours ago"
"Smart grid","Smart meter data lag","up to 3","hours","current page as accessed in 2026","Mass Rollout of Smart Meters","https://www.clp.com.hk/en/residential/smart-meters/mass-rollout","Useful for explaining near-real-time monitoring"
"Demand response","Households invited to Summer Saver Rebate Programme","1.6","million households","2025","CLP Power Completes Smart Meters Rollout","https://www.clp.com.hk/content/dam/clp-group/channels/media/document/2026/20260305_en.pdf","Smart-meter enabled demand response"
"Demand response","Participating households that successfully reduced electricity consumption","nearly 80","percent","2025","CLP Power Completes Smart Meters Rollout","https://www.clp.com.hk/content/dam/clp-group/channels/media/document/2026/20260305_en.pdf","Good engagement number for presentation"
"Demand response","Electricity saved in Summer Saver Rebate Programme","600000","kWh","over 6 hours in 2025","CLP Power Completes Smart Meters Rollout","https://www.clp.com.hk/content/dam/clp-group/channels/media/document/2026/20260305_en.pdf","Good example of demand-side flexibility"
"Demand response","Carbon emissions reduced in Summer Saver Rebate Programme","230","tonnes","over 6 hours in 2025","CLP Power Completes Smart Meters Rollout","https://www.clp.com.hk/content/dam/clp-group/channels/media/document/2026/20260305_en.pdf","Based on CLP's 2024 carbon intensity"
"External analysis","Potential power-system emissions reduction in high imported-nuclear scenario","70","percent","by 2035","Powering a Carbon-Free Hong Kong: Pathways towards a Net-Zero Emissions Power System for Hong Kong","https://www.wri.org/research/powering-carbon-free-hong-kong-pathways-towards-net-zero","External analysis, not official government target"
"External analysis","WRI recommendation on system design","enhance regional collaboration and import more low-carbon energy","","2021 report page accessed 2026","Powering a Carbon-Free Hong Kong: Pathways towards a Net-Zero Emissions Power System for Hong Kong","https://www.wri.org/research/powering-carbon-free-hong-kong-pathways-towards-net-zero","Use as qualitative support"
"External analysis","WRI caution on hydrogen and CCS","higher costs and deployment feasibility challenges","","2021 report page accessed 2026","Powering a Carbon-Free Hong Kong: Pathways towards a Net-Zero Emissions Power System for Hong Kong","https://www.wri.org/research/powering-carbon-free-hong-kong-pathways-towards-net-zero","Good caution against overclaiming future hydrogen share"
